iter	RMSE
341	1.811331494
342	1.810303668
343	1.809239554
344	1.80115656
345	1.797030505
346	1.793142479
347	1.791592548
348	1.783980092
349	1.776855156
350	1.76967351
351	1.767543163
352	1.759859215
353	1.752097931
354	1.743644451
355	1.73566971
356	1.726501259
357	1.725680864
358	1.718924678
359	1.711009785
360	1.708765666
361	1.702277582
362	1.693512381
363	1.691713223
364	1.691095176
365	1.682339716
366	1.680379372
367	1.674077321
368	1.668295822
369	1.660217998
370	1.651224189
371	1.645814256
372	1.637290407
373	1.629301322
374	1.623388503
375	1.616660661
376	1.610387875
377	1.604526625
378	1.598772625
379	1.597473311
380	1.591289543
381	1.589064093
382	1.58690156
383	1.585839713
384	1.578685718
385	1.578094364
386	1.572063027
387	1.566212436
388	1.560357518
389	1.556919546
390	1.555841684
391	1.55505628
392	1.554407203
393	1.552437643
394	1.545252473
395	1.538268181
396	1.532615616
397	1.524371183
398	1.519983011
399	1.519099134
400	1.512849699
401	1.511904511
402	1.506561917
403	1.504665472
404	1.503697772
405	1.501958787
406	1.494513287
407	1.493046742
408	1.486801075
409	1.486334497
410	1.48114122
411	1.475058541
412	1.473335515
413	1.467108856
414	1.461905531
415	1.457117312
416	1.452810354
417	1.447498428
418	1.442496056
419	1.439613248
420	1.432215826
421	1.4268384
422	1.420077775
423	1.415771504
424	1.414213113
425	1.413832035
426	1.408763622
427	1.403026613
428	1.397869017
429	1.396158984
430	1.388751736
431	1.387597766
432	1.381917132
433	1.376076041
434	1.375566959
435	1.3703371
436	1.364614593
437	1.359167648
438	1.355147074
439	1.350218073
440	1.3444531
441	1.343556381
442	1.338824657
443	1.333812577
444	1.333494255
445	1.33224962
446	1.327469281
447	1.325914088
448	1.321650584
449	1.320397486
450	1.315276919
451	1.314391615
452	1.308174123
453	1.302570649
454	1.299396889
455	1.296723894
456	1.291342489
457	1.286539153
458	1.282350808
459	1.2810386
460	1.274642715
461	1.268695706
462	1.264048863
463	1.259796228
464	1.255984728
465	1.252034913
466	1.247056154
467	1.242784329
468	1.238285094
469	1.233353867
470	1.230195525
471	1.229116931
472	1.226273771
473	1.221301738
474	1.214913017
475	1.211983028
476	1.208471616
477	1.203812562
478	1.200797386
479	1.196427761
480	1.1956024
481	1.195262791
482	1.190672088
483	1.187995539
484	1.187174711
485	1.182827425
486	1.182488373
487	1.179122189
488	1.173981971
489	1.169833531
490	1.16594231
491	1.163405274
492	1.159163833
493	1.156848007
494	1.151891206
495	1.148231512
496	1.143239571
497	1.139535768
498	1.134529611
499	1.129147123
500	1.123945228
501	1.121171071
502	1.116680108
503	1.111923661
504	1.108204276
505	1.107397963
506	1.105975828
507	1.104787508
508	1.101419517
509	1.101025835
510	1.096046318
511	1.093631423
512	1.088759761
513	1.084486684
514	1.080213124
515	1.076569317
516	1.071855315
517	1.068156207
518	1.06432916
519	1.063671019
520	1.061124061
521	1.060424547
522	1.055732945
523	1.052217668
524	1.048897258
525	1.045208495
526	1.044902754
527	1.043235246
528	1.039704189
529	1.036653897
530	1.033866709
531	1.033369311
532	1.029069024
533	1.026356295
534	1.024089149
535	1.020660661
536	1.018691559
537	1.017356816
538	1.013963
539	1.010438844
540	1.006522046
541	1.004242828
542	0.999561776
543	0.9954275335
544	0.9948110626
545	0.9924792506
546	0.9897910853
547	0.9895897721
548	0.9875477623
549	0.9843895022
550	0.9813114678
551	0.9779270486
552	0.9744397338
553	0.9732620152
554	0.9721181801
555	0.9698783672
556	0.9663100918
557	0.9645678627
558	0.9642548212
559	0.9617175952
560	0.9599151774
561	0.9587018085
562	0.9550184697
563	0.9513592235
564	0.9477366724
565	0.9438943793
566	0.9408960489
567	0.938515756
568	0.9358454227
569	0.9330065752
570	0.9298030792
571	0.9266828708
572	0.9244228164
573	0.9226873845
574	0.9197261033
575	0.9166119135
576	0.9131760683
577	0.9107754069
578	0.9095577224
579	0.9070302369
580	0.9044789511
581	0.9013998353
582	0.8995499984
583	0.8992956619
584	0.8985950203
585	0.8952037684
586	0.8925222396
587	0.89110124
588	0.8883001034
589	0.8858824567
590	0.8832241919
591	0.8798565599
592	0.8769420219
593	0.8745931256
594	0.8726727234
595	0.8697744099
596	0.8666921745
597	0.8641186509
598	0.8598617365
599	0.8592002252
600	0.8586755135
601	0.8558472476
602	0.8531087034
603	0.8501785116
604	0.8477733926
605	0.8453106182
606	0.8431386373
607	0.8408792386
608	0.8390936396
609	0.8365550037
610	0.834423312
611	0.8335317254
612	0.8317604592
613	0.8309885595
614	0.8296240138
615	0.827788008
616	0.8255092511
617	0.8232311733
618	0.8196704751
619	0.8178545145
620	0.8155113455
621	0.8144566649
622	0.8117844348
623	0.8095255078
624	0.8064161286
625	0.8053940534
626	0.8028316729
627	0.8008287188
628	0.7994572307
629	0.7971340589
630	0.7959085539
631	0.7942822033
632	0.7934390939
633	0.7931962653
634	0.7916233289
635	0.7893839642
636	0.7868464388
637	0.7848304388
638	0.78329234
639	0.7806473946
640	0.778777699
641	0.7767511542
642	0.7743513118
643	0.772155318
644	0.7703811261
645	0.7694767816
646	0.7674533989
647	0.7645522147
648	0.7613449854
649	0.759007436
650	0.7566545521
651	0.7541332778
652	0.7512479817
653	0.7484884944
654	0.7460143747
655	0.7455844117
656	0.7437357304
657	0.7419678151
658	0.7396266605
659	0.7369990504
660	0.7353806833
661	0.7331379712
662	0.7316602124
663	0.7294254685
664	0.7274289704
665	0.7248024557
666	0.722867679
667	0.7209249192
668	0.7185738268
669	0.7155502737
670	0.7138025169
671	0.711990456
672	0.7102182576
673	0.7075392622
674	0.7066812334
675	0.7039711876
676	0.703493186
677	0.7022628281
678	0.7005943077
679	0.6984799364
680	0.6964257734
681	0.6944178352
682	0.6923768664
683	0.6897292635
684	0.6887234651
685	0.6869438306
686	0.6850915972
687	0.682954434
688	0.6804596569
689	0.6787872881
690	0.6772824907
691	0.6749643628
692	0.6741594486
693	0.6728141497
694	0.6708584239
695	0.6695463381
696	0.6674904526
697	0.6665013798
698	0.6643486117
699	0.6628692874
700	0.6603610146
701	0.6586468649
702	0.6579897454
703	0.6567276389
704	0.6545671533
705	0.6531053819
706	0.651195812
707	0.6487960815
708	0.6472797706
709	0.6466493195
710	0.6451808389
711	0.6436307976
712	0.6422586154
713	0.6404146079
714	0.6397856115
715	0.6383703689
716	0.6378116928
717	0.6360252219
718	0.6351449059
719	0.6328366
720	0.6306188043
721	0.6296022773
722	0.6280131415
723	0.6270987239
724	0.6262485155
725	0.6254771344
726	0.6236684182
727	0.6215299592
728	0.6201431792
729	0.6190162586
730	0.6171676759
731	0.615666457
732	0.6143663785
733	0.6138362545
734	0.6124013568
735	0.611399893
736	0.609631069
737	0.6081961183
738	0.6074755991
739	0.6053775713
740	0.6032718259
741	0.6020356622
742	0.6003960122
743	0.5995809981
744	0.5973635805
745	0.595420754
746	0.5949929954
747	0.5937451601
748	0.5935171419
749	0.5918922512
750	0.5909857968
751	0.5897832508
752	0.5889018685
753	0.5879757916
754	0.58705921
755	0.5863972109
756	0.5846188461
757	0.5835061794
758	0.5831116419
759	0.5810197507
760	0.5803901383
761	0.5798249963
762	0.5781562351
763	0.5779459077
764	0.5778052449
765	0.576592395
766	0.5749054159
767	0.5740550528
768	0.5731639965
769	0.5721503269
770	0.5702489136
771	0.5687863945
772	0.5681731643
773	0.5671447523
774	0.5660369324
775	0.563971181
776	0.5618826286
777	0.5607091715
778	0.5600101185
779	0.5591497842
780	0.5579573107
781	0.5566631958
782	0.5559343255
783	0.5539410117
784	0.5526032753
785	0.5516814093
786	0.5501250439
787	0.5491845888
788	0.5477312678
789	0.546268748
790	0.5459243588
791	0.5455678956
792	0.5435663933
793	0.5423194242
794	0.5403704567
795	0.5398483029
796	0.5381694415
797	0.5371443805
798	0.5361957878
799	0.5354041065
800	0.5341930453
801	0.5334742325
802	0.5330454153
803	0.5319228452
804	0.5299858595
805	0.529671025
806	0.5295456916
807	0.5276663016
808	0.5265426914
809	0.5258239097
810	0.5240755937
811	0.5230744961
812	0.5223501808
813	0.5210991279
814	0.5200752031
815	0.5192048523
816	0.5181103585
817	0.51653058
818	0.5158254732
819	0.5148421445
820	0.5142212847
821	0.5125559191
822	0.5120464279
823	0.5105988951
824	0.5087260862
825	0.5077514693
826	0.5072262693
827	0.5061722633
828	0.5055793149
829	0.5049996752
830	0.5030173745
831	0.5024056625
832	0.5012105484
833	0.5002696547
834	0.4989781419
835	0.4975916414
836	0.4969505768
837	0.495638117
838	0.494660765
839	0.4931015084
840	0.4920457103
841	0.4914786133
842	0.4903445851
843	0.4899604426
844	0.4891550559
845	0.4878772027
846	0.4863525178
847	0.485334483
848	0.4846288845
849	0.4831944309
850	0.4818421218
851	0.4806182209
852	0.4793043129
853	0.4778203715
854	0.4776588429
855	0.475992807
856	0.4743740274
857	0.4737825716
858	0.472388095
859	0.4717558147
860	0.4713070484
861	0.4700705843
862	0.4691253722
863	0.4680743143
864	0.46721195
865	0.4658745416
866	0.4643207808
867	0.463440054
868	0.4621403054
869	0.4610064128
870	0.4601303926
871	0.4592806594
872	0.4576441268
873	0.4568168366
874	0.4554028054
875	0.4542789873
876	0.4529891549
877	0.4520426654
878	0.4510488028
879	0.4506035676
880	0.4495503077
881	0.4478253019
882	0.4464526893
883	0.4452717293
884	0.4441704403
885	0.4429387505
886	0.4426996928
887	0.4413169982
888	0.4403037415
889	0.4392465822
890	0.4384020972
891	0.437371349
892	0.4367234733
893	0.4358130246
894	0.4349524467
895	0.4346550075
896	0.433267256
897	0.4321352821
898	0.4308199914
899	0.4300700237
900	0.4288216257
901	0.4280199558
902	0.4266605084
903	0.42636136
904	0.4252150007
905	0.4246707056
906	0.4236723254
907	0.4223065346
908	0.4213107861
909	0.4202366463
910	0.4191005174
911	0.4186666864
912	0.4176437992
913	0.4167395307
914	0.4151820176
915	0.4142700236
916	0.4130713235
917	0.4118096628
918	0.4115159324
919	0.4110081112
920	0.410019075
921	0.4090732241
922	0.4078516567
923	0.4066497485
924	0.4061958325
925	0.404996666
926	0.4041043466
927	0.4029774933
928	0.4023007614
929	0.4011119315
930	0.4003256004
931	0.3993894045
932	0.398363094
933	0.3973830343
934	0.396334957
935	0.3952512056
936	0.3940245451
937	0.3930187654
938	0.3924307599
939	0.3909593091
940	0.3896105241
941	0.3887245926
942	0.3874514261
943	0.3866300996
944	0.3855245527
945	0.3842321348
946	0.3837247231
947	0.3831379046
948	0.3825453877
949	0.3815990653
950	0.3815074291
951	0.3811572059
952	0.3805139265
953	0.3797103019
954	0.3787348627
955	0.3776502266
956	0.3769437182
957	0.376452877
958	0.3753435743
959	0.3742997504
960	0.3731034073
961	0.372534772
962	0.3717468641
963	0.3711770329
964	0.3703160525
965	0.3696282287
966	0.3688193055
967	0.3681689729
968	0.3674866354
969	0.3668002955
970	0.3661760008
971	0.3657574997
972	0.3651452901
973	0.3638224686
974	0.3631078052
975	0.362330785
976	0.3617068151
977	0.3615288047
978	0.3606023319
979	0.3595501584
980	0.3583562253
981	0.3570814746
982	0.3563862007
983	0.3553350658
984	0.3551140208
985	0.3542400491
986	0.3539080392
987	0.3528933015
988	0.3521871725
989	0.351679104
990	0.3510708642
991	0.3500286516
992	0.3493617325
993	0.3483089677
994	0.3474339303
995	0.3469732509
996	0.3466299907
997	0.3460749023
998	0.3457011171
999	0.3450567582
