id,name,y_pos,x_pos,address
EVS_000249,용연구름다리_대여반납존,33.51494,126.5141,제주특별자치도 제주시 용담일동 2581-4
EVS_000332,용연 구름다리 교차로_대여반납존,33.514539,126.513951,제주특별자치도 제주시 흥운길 27 
EVS_000388,삼화 부영2차아파트 교차로_대여반납존,33.514053,126.573449,제주특별자치도 제주시 화북이동 115
EVS_000169,하도해수욕장 화장실_대여반납존,33.513551,126.89864,제주특별자치도 제주시 구좌읍 하도리 46-3
EVS_000115,스타벅스 제주용담DT점_대여반납존,33.513369,126.484291,제주특별자치도 제주시 용담삼동 2580-55
EVS_000139,스타벅스 제주칠성점(칠성로 입구)_대여반납존,33.513251,126.525351,제주특별자치도 제주시 관덕로 55 
EVS_000277,제주 관덕정_대여반납존,33.51325,126.521413,제주특별자치도 제주시 관덕로 19 
EVS_000153,산지천(제주동문시장)_대여반납존,33.513245,126.527276,제주특별자치도 제주시 일도일동 1498
EVS_000027,테스트,33.513212,126.511267,제주특별자치도 제주시 용담로7길 10-14 
EVS_000385,퍼시픽호텔 사거리_대여반납존,33.51052,126.519875,제주특별자치도 제주시 삼도일동 1227-3
EVS_000278,제주 영화의거리_대여반납존(남문사거리),33.50965,126.52335,제주특별자치도 제주시 관덕로8길 42 
EVS_000132,도두봉 버스정류장_대여반납존,33.508516,126.470291,제주특별자치도 제주시 도두일동 1727-1
EVS_000400,도련주공아파트_대여반납존,33.507058,126.589098,제주특별자치도 제주시 도련일동 1618
EVS_000219,제주공항 스마트모빌리티존_대여반납존,33.50695,126.494494,제주특별자치도 제주시 용담이동 2002-10
EVS_000286,제주민속자연사박물관(국수거리) 버스정류장_대여반납존,33.5068,126.53055,제주특별자치도 제주시 삼성로 40 
EVS_000279,제주 삼성혈_대여반납존,33.5055,126.52849,제주특별자치도 제주시 삼성로 22 
EVS_000338,먹돌새기 교차로_대여반납존,33.504711,126.506944,제주특별자치도 제주시 용해로 147 
EVS_000384,제주칼호텔사거리_대여반납존,33.504689,126.526447,제주특별자치도 제주시 중앙로 159
EVS_000087,목마등대,33.503447,126.45441,제주특별자치도 제주시 서해안로 58 
EVS_000463,종달리전망대 자전거거치대(수국꽃길)_대여반납존,33.503393,126.912968,제주특별자치도 제주시 구좌읍 종달리 451-5
EVS_000399,이호테우목마등대_대여반납존,33.502844,126.453884,제주특별자치도 제주시 이호일동 374-3
EVS_000217,제주학생문화원 자전거거치대_대여반납존,33.500465,126.540977,제주특별자치도 제주시 연삼로 489 
EVS_000136,스타벅스 제주시청점_대여반납존,33.500371,126.529521,제주특별자치도 제주시 중앙로 215 
EVS_000030,제주벤처마루.,33.50033,126.530047,제주특별자치도 제주시 중앙로 217 
EVS_000026,제주벤처마루,33.50033,126.530047,제주특별자치도 제주시 중앙로 217 제주벤처마루
EVS_000215,제주시 버스터미널_대여반납존,33.499836,126.514605,제주특별자치도 제주시 서광로 174 
EVS_000213,제주시청 버스정류장_대여반납존,33.499077,126.530483,제주특별자치도 제주시 이도이동 1176-1
EVS_000113,이호테우해변_대여반납존,33.497501,126.453499,제주특별자치도 제주시 이호일동 1665-7
EVS_000011,이호현사점,33.497414,126.449074,제주특별자치도 제주시 이호일동 1790
EVS_000035,이호테우해수욕장,33.497389,126.453773,제주특별자치도 제주시 이호일동 1665-7
EVS_000090,이브이트럭3,33.497339,126.453772,제주특별자치도 제주시 이호일동 1665-7
EVS_000170,종달항 우도도항선 대합실 입구_대여반납존,33.496721,126.910822,제주특별자치도 제주시 구좌읍 종달리 565-72
EVS_000273,제주민속오일시장(전기차충전소 옆)_대여반납존,33.49654,126.4735,제주특별자치도 제주시 오일장동길 51 
EVS_000214,알작지_대여반납존,33.496,126.4397,제주특별자치도 제주시 테우해안로 60 
EVS_000014,이호해변존,33.495761,126.45769,제주특별자치도 제주시 이호일동 753-7
EVS_000010,이호해변점,33.495746,126.457603,제주특별자치도 제주시 이호일동 753-7
EVS_000306,종달리 버스정류장_대여반납존,33.495111,126.896151,제주특별자치도 제주시 구좌읍 종달로 35 
EVS_000325,연대포구 방파제 입구_대여반납존,33.494998,126.426005,제주특별자치도 제주시 연대마을길 34-10 
